team,dist,terr,product,1P,2P,3P,4P,5P,6P,7P,8P,9P,10P,11P,12P,YTD
CORE2,GH_CORE2,CORE2101,ELIQUIS,"120,219","111,722",0,0,0,0,0,0,0,0,0,0,"231,941"
CORE2,GH_CORE2,CORE2102,ELIQUIS,"82,761","78,494",0,0,0,0,0,0,0,0,0,0,"161,256"
CORE2,GH_CORE2,CORE2103,ELIQUIS,"57,653","55,219",0,0,0,0,0,0,0,0,0,0,"112,872"
CORE2,GH_CORE2,CORE2104,ELIQUIS,"60,519","82,046",0,0,0,0,0,0,0,0,0,0,"142,565"
CORE2,GH_CORE2,CORE2105,ELIQUIS,"89,925","73,277",0,0,0,0,0,0,0,0,0,0,"163,203"
CORE2,GH_CORE2,CORE2106,ELIQUIS,"80,988","98,559",0,0,0,0,0,0,0,0,0,0,"179,547"
CORE2,GH_CORE2,CORE2107,ELIQUIS,"27,701","27,608",0,0,0,0,0,0,0,0,0,0,"55,309"
CORE2,GH_CORE2,CORE2108,ELIQUIS,"13,578","18,460",0,0,0,0,0,0,0,0,0,0,"32,037"
CORE2,GH_CORE2,CORE2110,ELIQUIS,"98,795","102,091",0,0,0,0,0,0,0,0,0,0,"200,886"
CORE2,GH_CORE2,CORE2101,CIBINQO,0,0,0,0,0,0,0,0,0,0,0,0,0
CORE2,GH_CORE2,CORE2102,CIBINQO,"1,228",758,"1,422",0,0,0,0,0,0,0,0,0,"3,408"
CORE2,GH_CORE2,CORE2103,CIBINQO,0,0,0,0,0,0,0,0,0,0,0,0,0
CORE2,GH_CORE2,CORE2104,CIBINQO,0,"1,643",0,0,0,0,0,0,0,0,0,0,"1,643"
CORE2,GH_CORE2,CORE2105,CIBINQO,0,0,"2,843",0,0,0,0,0,0,0,0,0,"2,843"
CORE2,GH_CORE2,CORE2106,CIBINQO,0,0,"1,426",0,0,0,0,0,0,0,0,0,"1,426"
CORE2,GH_CORE2,CORE2107,CIBINQO,0,0,0,0,0,0,0,0,0,0,0,0,0
CORE2,GH_CORE2,CORE2108,CIBINQO,"3,569",758,"7,117",0,0,0,0,0,0,0,0,0,"11,445"
CORE2,GH_CORE2,CORE2110,CIBINQO,0,0,"3,791",0,0,0,0,0,0,0,0,0,"3,791"
CORE2_E,GH_CORE2,CORE2109,CIBINQO,"-1,228",379,0,0,0,0,0,0,0,0,0,0,-849
CORE2,GH_CORE2,CORE2101,XELJANZ,"26,821","23,857","23,881",0,0,0,0,0,0,0,0,0,"74,559"
CORE2,GH_CORE2,CORE2102,XELJANZ,"38,622","41,145","42,987",0,0,0,0,0,0,0,0,0,"122,753"
CORE2,GH_CORE2,CORE2103,XELJANZ,"42,555","31,464","27,923",0,0,0,0,0,0,0,0,0,"101,942"
CORE2,GH_CORE2,CORE2104,XELJANZ,"49,350","26,969","24,249",0,0,0,0,0,0,0,0,0,"100,568"
CORE2,GH_CORE2,CORE2105,XELJANZ,"31,112","18,671","14,696",0,0,0,0,0,0,0,0,0,"64,479"
CORE2,GH_CORE2,CORE2106,XELJANZ,"18,238","12,447","13,961",0,0,0,0,0,0,0,0,0,"44,647"
CORE2,GH_CORE2,CORE2107,XELJANZ,"32,185","45,294","22,412",0,0,0,0,0,0,0,0,0,"99,890"
CORE2,GH_CORE2,CORE2108,XELJANZ,"23,602","41,836","18,370",0,0,0,0,0,0,0,0,0,"83,809"
CORE2,GH_CORE2,CORE2110,XELJANZ,"41,483","44,602","47,763",0,0,0,0,0,0,0,0,0,"133,848"
CORE2_E,GH_CORE2,CORE2109,XELJANZ,"71,522","37,687","60,622",0,0,0,0,0,0,0,0,0,"169,831"
CORE2,GH_CORE2,CORE2101,XELJANZ 10,0,0,0,0,0,0,0,0,0,0,0,0,0
CORE2,GH_CORE2,CORE2102,XELJANZ 10,"2,350","2,808","2,252",0,0,0,0,0,0,0,0,0,"7,409"
CORE2,GH_CORE2,CORE2103,XELJANZ 10,"12,219","7,861","7,656",0,0,0,0,0,0,0,0,0,"27,736"
CORE2,GH_CORE2,CORE2104,XELJANZ 10,"6,109","3,931","11,259",0,0,0,0,0,0,0,0,0,"21,299"
CORE2,GH_CORE2,CORE2105,XELJANZ 10,"2,350","4,492","4,053",0,0,0,0,0,0,0,0,0,"10,895"
CORE2,GH_CORE2,CORE2106,XELJANZ 10,940,0,0,0,0,0,0,0,0,0,0,0,940
CORE2,GH_CORE2,CORE2107,XELJANZ 10,"8,459","7,861","2,702",0,0,0,0,0,0,0,0,0,"19,023"
CORE2,GH_CORE2,CORE2108,XELJANZ 10,0,0,450,0,0,0,0,0,0,0,0,0,450
CORE2,GH_CORE2,CORE2110,XELJANZ 10,"12,219","21,899","9,908",0,0,0,0,0,0,0,0,0,"44,025"
CORE2_E,GH_CORE2,CORE2109,XELJANZ 10,-724,"10,107","9,457",0,0,0,0,0,0,0,0,0,"18,841"
CORE2,GH_CORE2,CORE2101,ENBREL,"33,253","20,569","38,897",0,0,0,0,0,0,0,0,0,"92,719"
CORE2,GH_CORE2,CORE2102,ENBREL,"58,205","42,955","64,289",0,0,0,0,0,0,0,0,0,"165,449"
CORE2,GH_CORE2,CORE2103,ENBREL,"65,029","68,252","94,731",0,0,0,0,0,0,0,0,0,"228,012"
CORE2,GH_CORE2,CORE2104,ENBREL,"43,163","45,157","29,563",0,0,0,0,0,0,0,0,0,"117,884"
CORE2,GH_CORE2,CORE2105,ENBREL,"26,277","27,556","34,630",0,0,0,0,0,0,0,0,0,"88,463"
CORE2,GH_CORE2,CORE2106,ENBREL,"3,923","3,822","5,860",0,0,0,0,0,0,0,0,0,"13,604"
CORE2,GH_CORE2,CORE2107,ENBREL,"58,559","25,047","66,867",0,0,0,0,0,0,0,0,0,"150,473"
CORE2,GH_CORE2,CORE2108,ENBREL,"58,325","47,505","33,326",0,0,0,0,0,0,0,0,0,"139,155"
CORE2,GH_CORE2,CORE2110,ENBREL,"31,588","52,955","51,699",0,0,0,0,0,0,0,0,0,"136,242"
CORE2_E,GH_CORE2,CORE2109,ENBREL,"63,460","98,761","81,640",0,0,0,0,0,0,0,0,0,"243,861"
