,Year,援щ텇,team,mpg,?쒗뭹,1P,2P,3P,4P,5P,6P,7P,8P,9P,10P,11P,12P, YTD 
,2023,BUD  ,CORE,BAV,BAVENCIO,9724565.618,8718576.014,9053905.911,9724565.618,10059895.43,10313235.05,15452503.12,17644938.9,24026427.61,31559167.78,39965525.24,47150338.7,"233,393,645"
,2023,BUD  ,CORE,BES,BESPONSA,41408233.99,28985763.81,28985763.81,28985763.81,41408233.99,33126587.2,33126587.2,41408233.99,33126587.2,41408233.99,33126587.2,28985763.81,"414,082,340"
,2023,BUD  ,CORE,CIB,CIBINQO,9021772.092,10897852.68,12956364.94,15080149.59,54540248.63,63504976.06,73296877.13,83945392.33,95479944.76,107929910.7,121324593.3,131072096.8,"779,050,179"
,2023,BUD  ,CORE,CRE,CRESEMBA,17692871.91,17692871.91,15165318.78,17692871.91,17692871.91,20220425.04,17692871.91,22747978.17,25275531.3,27803084.43,25275531.3,27803084.43,"252,755,313"
,2023,BUD  ,CORE,193,ELIQUIS,765447640.9,856624586.5,888935515.4,937421973.5,987605087,1006191778,1043306666,1048887027,1079219715,1099124893,1112013896,1126740007,"11,951,518,785"
,2023,BUD  ,CORE,B04,ENBREL,466198894.2,531948906.2,441151270.6,470895323.7,510032235.5,431758411.8,459936988.3,514728665,381663164.6,469956037.8,399509596.4,422426590.9,"5,500,206,085"
,2023,BUD  ,CORE,6,ERAXIS,12679807.43,15427545.93,9811436.654,10796601.47,15300211.72,14040273.11,14871296.41,10850215.91,14134098.25,18275811.35,10763092.39,12820545.38,"159,770,936"
,2023,BUD  ,CORE,IBR,IBRANCE,1256471826,1121849845,1076975851,1144286841,1229547430,1050051454,1175698637,1189160835,1099412848,1269934024,1166723838,1188712095,"13,968,825,524"
,2023,BUD  ,CORE,INL,INLYTA,128349701,125675748.8,124338772.9,120327844.7,149473922.7,79148982.23,104284132,111771197.8,90112185.9,125140958.3,64709640.93,90914371.58,"1,314,247,459"
,2023,BUD  ,CORE,LOR,LORVIQUA,93468102.52,101965202.7,110962132.4,108711775.3,109713683.6,88969637.69,78973049.18,84471622.75,76473452.17,89220227.24,77222971.36,85970661.14,"1,106,122,518"
,2023,BUD  ,CORE,PCX,PRECEDEX,322875207.7,384989646.5,305652509,345321077.8,367723592.8,326328418.7,380716488.4,380716488.4,303882548.6,328055024,269393796.2,341867867.1,"4,057,522,665"
,2023,BUD  ,CORE,B67,PREVENAR13(A),2529774522,337069414.5,598242021.7,598242021.7,859414628.9,1120587236,1120587236,1120587236,1117729945,1638467932,3205503576,2944330969,"17,190,536,738"
,2023,BUD  ,CORE,B41,PREVENAR13(P),68262120.21,59160504.18,59160504.18,56885100.17,56885100.17,56885100.17,53092760.16,53092760.16,53092760.16,53092760.16,45508080.14,44749612.14,"659,867,162"
,2023,BUD  ,CORE,185,SUTENE,203450933.7,202202768.5,199456804.9,182232124.5,202068654.9,154772489.3,174743133.1,191718180.4,127312854.1,175242399.4,122454306.6,102349549.5,"2,038,004,199"
,2023,BUD  ,CORE,B37,TYGACIL,216939469.1,249809085.9,190643776.1,169043742.3,214122073.6,180313324.9,265640166.6,273689868.3,265640166.6,256383009.2,190643776.1,210365546.2,"2,683,234,005"
,2023,BUD  ,CORE,388,VFEND,287653934.4,354091728.9,304726950.5,274451745.3,310957088.3,217154423.7,270225863.5,261477058.4,253666409.8,339158534,269155830.1,288612207.1,"3,431,331,774"
,2023,BUD  ,CORE,VIZ,VIZIMPRO,63584770.22,63419184.86,64233266.48,63902095.76,65861429.74,51536352.59,61432160.76,66979269.77,54394783.97,62439240.06,44830146.28,51497040.5,"714,109,741"
,2023,BUD  ,CORE,E60,XALKORI,172555268.3,177034744.9,175800059.9,170114720.8,165568314.6,144922565,163165874.7,154810027.7,140376159,153316868.7,151325990.3,147841953,"1,916,832,547"
,2023,BUD  ,CORE,XEL,XELJANZ,354713156.2,301232420.8,329290515.8,355041697.4,394210939.7,349834823.1,440611061.2,446217469.1,450434482.2,555090843,524261470.2,536978795.2,"5,037,917,674"
,2023,BUD  ,CORE,XEU,XELJANZ 10,40483569.31,26136310.66,33944304.26,42971470.94,50079269.81,44301749.24,59165550.58,54479773.83,54813285.15,78774584.38,79619537.21,73737987.63,"638,507,393"
,2023,BUD  ,CORE,229,ZYVOX,121999500,136329600,140202600,153758100,160342200,164989800,178545300,185129400,183580200,182418300,178932600,182418300,"1,968,645,900"
,,,,,,,,,,,,,,,,,,
sYear,Team,Dist,Terr,MPG,?쒗뭹,1P,2P,3P,4P,5P,6P,7P,8P,9P,10P,11P,12P, YTD 
2023,CORE,CORE1,CORE1101,BAV,BAVENCIO,1492684,1338267,1389740,1492684,1544154,1583043,2371898,2708428,3687962,4844209,6134553,7237395,"35,825,017"
2023,CORE,CORE1,CORE1102,BAV,BAVENCIO,6497435,5825286,6049336,6497435,6721484,6890752,10324536,11789404,16053174,21086148,26702826,31503332,"155,941,148"
2023,CORE,CORE1,CORE1103,BAV,BAVENCIO,28602,25643,26629,28602,29588,30333,45449,51897,70666,92821,117546,138676,"686,452"
2023,CORE,CORE1,CORE1104,BAV,BAVENCIO,1048008,939593,975732,1048008,1084146,1111449,1665303,1901580,2589308,3401105,4307051,5081351,"25,152,634"
2023,CORE,CORE1,CORE1105,BAV,BAVENCIO,57203,51286,53258,57203,59176,60666,90897,103794,141332,185642,235091,277356,"1,372,904"
2023,CORE,CORE1,CORE1106,BAV,BAVENCIO,0,0,0,0,0,0,0,0,0,0,0,0, - 
2023,CORE,CORE1,CORE1107,BAV,BAVENCIO,85805,76929,79887,85805,88764,90999,136346,155691,211998,278463,352637,416032,"2,059,356"
2023,CORE,CORE1,CORE1108,BAV,BAVENCIO,57203,51286,53258,57203,59176,60666,90897,103794,141332,185642,235091,277356,"1,372,904"
2023,CORE,CORE4,CORE4101,BAV,BAVENCIO,143008,128214,133146,143008,147940,151665,227243,259484,353330,464105,587728,693388,"3,432,259"
2023,CORE,CORE4,CORE4102,BAV,BAVENCIO,257415,230786,239662,257415,266291,272997,409037,467072,635994,835390,1057911,1248097,"6,178,067"
2023,CORE,CORE4,CORE4103,BAV,BAVENCIO,57203,51286,53258,57203,59176,60666,90897,103794,141332,185642,235091,277356,"1,372,904"
2023,CORE,CORE1,CORE1101,BES,BESPONSA,724327,507028,507028,507028,724327,579461,579461,724327,579461,724327,579461,507025,"7,243,261"
2023,CORE,CORE1,CORE1102,BES,BESPONSA,0,0,0,0,0,0,0,0,0,0,0,0, - 
2023,CORE,CORE1,CORE1103,BES,BESPONSA,10071025,7049718,7049718,7049718,10071025,8056820,8056820,10071025,8056820,10071025,8056820,7049721,"100,710,255"
2023,CORE,CORE1,CORE1104,BES,BESPONSA,4299597,3009718,3009718,3009718,4299597,3439677,3439677,4299597,3439677,4299597,3439677,3009716,"42,995,966"
2023,CORE,CORE1,CORE1105,BES,BESPONSA,2804584,1963209,1963209,1963209,2804584,2243668,2243668,2804584,2243668,2804584,2243668,1963209,"28,045,844"
2023,CORE,CORE1,CORE1106,BES,BESPONSA,0,0,0,0,0,0,0,0,0,0,0,0, - 
2023,CORE,CORE1,CORE1107,BES,BESPONSA,0,0,0,0,0,0,0,0,0,0,0,0, - 
2023,CORE,CORE1,CORE1108,BES,BESPONSA,22106409,15474486,15474486,15474486,22106409,17685127,17685127,22106409,17685127,22106409,17685127,15474490,"221,064,092"
2023,CORE,CORE4,CORE4101,BES,BESPONSA,1402292,981605,981605,981605,1402292,1121834,1121834,1402292,1121834,1402292,1121834,981603,"14,022,922"
2023,CORE,CORE4,CORE4102,BES,BESPONSA,0,0,0,0,0,0,0,0,0,0,0,0, - 
2023,CORE,CORE4,CORE4103,BES,BESPONSA,0,0,0,0,0,0,0,0,0,0,0,0, - 
